"품목명","단위","등급","가격","산지","친환경구분","입력일"
"[기타양채]케일","2kg","특(1등)","2300","경기 이천시","일반","20200130"
"[기타양채]케일","2kg","특(1등)","2400","경기 이천시","일반","20200130"
"[기타양채]케일","2kg","특(1등)","2500","경기 이천시","일반","20200130"
"[기타양채]케일","2kg","특(1등)","2600","경기 이천시","일반","20200130"
"[기타양채]케일","2kg","특(1등)","2700","경기 이천시","일반","20200130"
"[기타양채]케일","2kg","특(1등)","3500","경기 이천시","일반","20200130"
"[기타양채]케일","2kg","특(1등)","2800","경기 이천시","일반","20200130"
"[기타양채]케일","2kg","특(1등)","3000","경기 이천시","일반","20200130"
"[기타양채]케일","2kg","특(1등)","3400","경기 이천시","일반","20200130"
"[기타양채]케일","2kg","특(1등)","2400","경기 용인시","일반","20200130"
"[기타양채]케일","2kg","특(1등)","3100","경기 이천시","일반","20200130"
"[기타양채]케일","2kg","특(1등)","4600","경기 이천시","일반","20200130"
"[기타양채]케일","2kg","특(1등)","4700","경기 이천시","일반","20200130"
"[기타양채]케일","2kg","특(1등)","4900","경기 이천시","일반","20200130"
"[기타양채]케일","2kg","특(1등)","5100","경기 이천시","일반","20200130"
"[기타양채]케일","2kg","특(1등)","2900","경기 이천시","일반","20200130"
"[기타양채]케일","2kg","특(1등)","3000","경기 여주시","일반","20200130"
"[기타양채]케일","2kg","특(1등)","4500","충북 음성군","일반","20200130"
"[기타양채]케일","2kg","특(1등)","2900","서울 송파구","일반","20200130"
"[기타양채]케일","2kg","특(1등)","3000","서울 송파구","일반","20200130"
"[기타양채]케일","2kg","특(1등)","3200","경기 이천시","일반","20200130"
"[기타양채]케일","2kg","특(1등)","3300","경기 이천시","일반","20200130"
"[기타양채]케일","2kg","특(1등)","3900","경기 이천시","일반","20200130"
"[기타양채]케일","2kg","특(1등)","4200","서울","일반","20200130"
"[기타양채]케일","2kg","특(1등)","4500","서울","일반","20200130"
"[기타양채]케일","2kg","특(1등)","4600","서울","일반","20200130"
"[기타양채]케일","2kg","특(1등)","4100","경기 광주시","일반","20200130"
"[기타양채]케일","2kg","특(1등)","2200","충북 음성군","일반","20200130"
"[기타양채]케일","2kg","특(1등)","2300","충북 음성군","일반","20200130"
"[기타양채]케일","2kg","특(1등)","2400","충북 음성군","일반","20200130"
"[기타양채]케일","2kg","특(1등)","4200","충북 음성군","일반","20200130"
"[기타양채]치콘","2kg","특(1등)","5900","경기 이천시","일반","20200130"
"[기타양채]치콘","2kg","특(1등)","4900","경기 양평군","일반","20200130"
"[기타양채]치커리","2kg","특(1등)","2500","서울 강동구","일반","20200130"
"[기타양채]치커리","2kg","특(1등)","2900","서울 강동구","일반","20200130"
"[기타양채]치커리","2kg","특(1등)","3100","서울 강동구","일반","20200130"
"[기타양채]치커리","2kg","특(1등)","1800","서울 강동구","일반","20200130"
"[기타양채]치커리","2kg","특(1등)","1900","서울 강동구","일반","20200130"
"[기타양채]치커리","2kg","특(1등)","1800","경기 하남시","일반","20200130"
"[기타양채]치커리","2kg","특(1등)","2000","경기 하남시","일반","20200130"
"[기타양채]치커리","2kg","특(1등)","2100","경기 하남시","일반","20200130"
"[기타양채]치커리","2kg","특(1등)","2200","경기 하남시","일반","20200130"
"[기타양채]치커리","2kg","특(1등)","2300","경기 하남시","일반","20200130"
"[기타양채]치커리","2kg","특(1등)","1700","경기 이천시","일반","20200130"
"[기타양채]치커리","2kg","특(1등)","1500","경기 이천시","일반","20200130"
